Age,Years_of_Experience,Gender,Education Level,Job Title,Salary
32,5,Male,Bachelor's,Software Engineer,90000
28,3,Female,Master's,Data Analyst,65000
45,15,Male,PhD,Senior Manager,150000
36,7,Female,Bachelor's,Sales Associate,60000
52,20,Male,Master's,Director,200000
29,2,Male,Bachelor's,Marketing Analyst,55000
42,12,Female,Master's,Product Manager,120000
31,4,Male,Bachelor's,Sales Manager,80000
26,1,Female,Bachelor's,Marketing Coordinator,45000
38,,Male,PhD,Senior Scientist,110000
29,3,Male,Master's,Software Developer,75000
48,18,Female,Bachelor's,HR Manager,140000
35,6,Male,Bachelor's,Financial Analyst,65000
40,14,Female,Master's,Project Manager,130000
27,2,Male,Bachelor's,Customer Service Rep,40000
44,16,Male,Bachelor's,Operations Manager,125000
33,7,Female,Master's,Marketing Manager,90000
39,12,Male,PhD,Senior Engineer,115000
25,0,Female,Bachelor's,Data Entry Clerk,35000
51,22,Male,Bachelor's,Sales Director,180000
34,5,Female,Master's,Business Analyst,80000
47,19,Male,Master's,VP of Operations,190000
30,2,Male,Bachelor's,IT Support,50000
36,9,Female,Bachelor's,Recruiter,60000
41,13,Male,Master's,Financial Manager,140000
28,3,Female,Bachelor's,Social Media Specialist,45000
37,11,Female,Master's,Software Manager,110000
24,1,Male,Bachelor's,Junior Developer,40000
43,15,Female,PhD,Senior Consultant,140000
33,6,Male,Master's,Product Designer,90000
50,25,,Bachelor's,CEO,250000
31,4,Female,Bachelor's,Accountant,55000
29,3,Male,Master's,Data Scientist,75000
39,10,Female,Bachelor's,Marketing Specialist,65000
46,20,Male,PhD,Senior Manager,170000
27,2,Male,Bachelor's,Technical Writer,45000
35,7,Female,Bachelor's,HR Generalist,60000
42,14,Male,Master's,Project Engineer,115000
26,1,Female,Bachelor's,Customer Success Rep,40000
49,21,Male,Bachelor's,Sales Executive,160000
34,5,Female,Master's,UX Designer,80000
48,18,Male,Master's,Operations Director,190000
30,3,Male,Bachelor's,Network Engineer,60000
36,8,Female,Bachelor's,Administrative Assistant,45000
41,13,Male,Master's,Strategy Consultant,130000
28,2,Female,Bachelor's,Copywriter,40000
32,5,Male,Bachelor's,Account Manager,75000
45,16,Female,Master's,Director of Marketing,180000
38,11,Male,PhD,Senior Scientist,120000
25,0,Male,Bachelor's,Help Desk Analyst,35000
51,22,Female,Bachelor's,Customer Service Manager,130000
33,7,Male,Master's,Business Intelligence Analyst,85000
40,12,Female,Bachelor's,Event Coordinator,60000
47,19,Male,Master's,VP of Finance,200000
29,3,Female,Bachelor's,Graphic Designer,50000
36,9,Male,Bachelor's,Sales Manager,95000
27,2,Female,Master's,UX Researcher,65000
43,17,Male,PhD,Senior Engineer,140000
30,4,Female,Bachelor's,Social Media Manager,55000
35,7,Male,Master's,Product Manager,105000
51,23,Female,Master's,Director of Operations,170000
29,3,Male,Bachelor's,Marketing Analyst,50000
40,12,Female,Bachelor's,HR Manager,80000
47,21,Male,PhD,Senior Data Scientist,180000
26,1,Male,Bachelor's,Junior Accountant,35000
38,10,Female,Master's,Digital Marketing Manager,90000
46,19,Male,Bachelor's,IT Manager,120000
31,5,Female,Bachelor's,Customer Service Representative,45000
34,8,Male,Master's,Business Development Manager,90000
49,18,Female,Master's,Senior Financial Analyst,150000
33,6,Male,Bachelor's,Web Developer,65000
39,11,Female,Bachelor's,Recruiter,70000
45,16,Male,PhD,Research Director,190000
28,2,Male,Bachelor's,Technical Support Specialist,40000
42,14,Female,Master's,Creative Director,120000
37,10,Male,Bachelor's,Project Manager,95000
50,22,Female,Bachelor's,Operations Manager,160000
32,6,Male,Master's,Senior Software Engineer,100000
48,20,Female,Master's,Human Resources Director,180000
30,3,Female,Bachelor's,Content Marketing Manager,55000
36,8,Male,Bachelor's,Technical Recruiter,70000
41,13,Female,Master's,Data Analyst,80000
25,0,Male,Bachelor's,Sales Representative,30000
52,24,Male,PhD,Chief Technology Officer,250000
29,2,Female,Bachelor's,Junior Designer,40000
34,,Female,Master's,Financial Advisor,95000
27,2,Male,Bachelor's,Junior Account Manager,45000
40,15,Female,Bachelor's,HR Generalist,80000
46,21,Male,Master's,Senior Project Manager,135000
31,6,Female,Bachelor's,Marketing Coordinator,55000
36,11,Male,PhD,Principal Scientist,120000
29,3,Female,Bachelor's,Sales Associate,40000
43,18,Male,Bachelor's,Supply Chain Manager,105000
52,25,Female,Master's,Senior Marketing Manager,170000
33,7,Male,Bachelor's,Business Analyst,75000
39,12,Female,Bachelor's,Training Specialist,65000
47,22,Male,PhD,Research Scientist,160000
26,1,Male,Bachelor's,Junior Software Developer,35000
38,10,Female,Master's,Public Relations Manager,90000
45,20,Male,Bachelor's,Operations Analyst,110000
31,5,Female,Bachelor's,Event Coordinator,45000
35,8,Male,Master's,Product Marketing Manager,95000
49,19,Female,Master's,Senior HR Manager,150000
33,5,Male,Bachelor's,Junior Web Developer,50000
39,13,Female,Master's,Senior Project Coordinator,80000
44,16,Male,PhD,Chief Data Officer,220000
30,3,Female,Bachelor's,Digital Content Producer,50000
36,7,Male,Bachelor's,IT Support Specialist,60000
41,14,Female,Master's,Senior Marketing Analyst,100000
28,2,Male,Bachelor's,Customer Success Manager,40000
42,15,Female,Master's,Senior Graphic Designer,110000
37,9,Male,Bachelor's,Software Project Manager,95000
50,22,Female,Bachelor's,Supply Chain Analyst,130000
32,6,Male,Master's,Senior Business Analyst,90000
23,0.5,Female,Bachelor's,Junior Marketing Analyst,35000
31,6,Male,Master's,Senior Financial Analyst,95000
40,15,Female,Bachelor's,Office Manager,65000
48,20,Male,PhD,Principal Engineer,170000
29,3,Female,Bachelor's,Junior HR Generalist,45000
35,10,Male,Master's,Senior Product Manager,120000
42,17,Female,Bachelor's,Sales Manager,100000
